date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:29	3686/3686	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202020%2012:58:27%20GMT	https://alt-sheff.co.uk/robots.txt		(from )
13:58:29	12044/12044	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:27%20GMT	https://alt-sheff.co.uk/	m:/webwack/Alt%20sheff/web/index.html	(from )
13:58:29	2661/2661	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:28%20GMT	https://alt-sheff.co.uk/events/rss	m:/webwack/Alt%20sheff/web/rss.html	(from https://alt-sheff.co.uk/)
13:58:29	16778/16778	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:28%20GMT	https://alt-sheff.co.uk/stories/rss	m:/webwack/Alt%20sheff/web/rss-2.html	(from https://alt-sheff.co.uk/)
13:58:30	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257e-48db2be0c12c0%22	https://alt-sheff.co.uk/img/favicon.ico	m:/webwack/Alt%20sheff/web/ico/favicon.ico	(from https://alt-sheff.co.uk/)
13:58:30	11215/11215	---M-Z	200	added ('OK')	text/css	etag:%222bcf-5a25e793d1374-gzip%22	https://alt-sheff.co.uk/screen.css	m:/webwack/Alt%20sheff/web/css/screen.css	(from https://alt-sheff.co.uk/)
13:58:30	70462/70462	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:28%20GMT	https://alt-sheff.co.uk/stories	m:/webwack/Alt%20sheff/web/stories.html	(from https://alt-sheff.co.uk/)
13:58:30	7680/7680	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:29%20GMT	https://alt-sheff.co.uk/link	m:/webwack/Alt%20sheff/web/link.html	(from https://alt-sheff.co.uk/)
13:58:31	4953/4953	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:29%20GMT	https://alt-sheff.co.uk/subscribe	m:/webwack/Alt%20sheff/web/subscribe.html	(from https://alt-sheff.co.uk/)
13:58:31	5006/5006	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:29%20GMT	https://alt-sheff.co.uk/about	m:/webwack/Alt%20sheff/web/about.html	(from https://alt-sheff.co.uk/)
13:58:31	5445/5445	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:29%20GMT	https://alt-sheff.co.uk/contact	m:/webwack/Alt%20sheff/web/contact.html	(from https://alt-sheff.co.uk/)
13:58:31	5704/5704	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:30%20GMT	https://alt-sheff.co.uk/events/add	m:/webwack/Alt%20sheff/web/add.html	(from https://alt-sheff.co.uk/)
13:58:32	613/613	---M--	200	added ('OK')	image/png	etag:%22265-48ca1d968f400%22	https://alt-sheff.co.uk/img/add.png	m:/webwack/Alt%20sheff/web/png/add.png	(from https://alt-sheff.co.uk/)
13:58:32	898/898	---M--	200	added ('OK')	image/png	etag:%22382-48ca1dd1aff80%22	https://alt-sheff.co.uk/img/rss.png	m:/webwack/Alt%20sheff/web/png/rss.png	(from https://alt-sheff.co.uk/)
13:58:32	12212/12212	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:30%20GMT	https://alt-sheff.co.uk/?year=2020&month=4&day=18	m:/webwack/Alt%20sheff/web/index422a.html	(from https://alt-sheff.co.uk/)
13:58:32	857/857	---M--	200	added ('OK')	image/png	etag:%22359-48d39eb68aa40%22	https://alt-sheff.co.uk/img/cal.png	m:/webwack/Alt%20sheff/web/png/cal.png	(from https://alt-sheff.co.uk/)
13:58:32	4961/4961	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:31%20GMT	https://alt-sheff.co.uk/stories/585	m:/webwack/Alt%20sheff/web/585.html	(from https://alt-sheff.co.uk/)
13:58:33	4903/4903	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:31%20GMT	https://alt-sheff.co.uk/events/585	m:/webwack/Alt%20sheff/web/585-2.html	(from https://alt-sheff.co.uk/)
13:58:33	5173/5173	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:31%20GMT	https://alt-sheff.co.uk/stories/584	m:/webwack/Alt%20sheff/web/584.html	(from https://alt-sheff.co.uk/)
13:58:33	4018/4018	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2012:58:31%20GMT	https://alt-sheff.co.uk/events/ical	m:/webwack/Alt%20sheff/web/ical.html	(from https://alt-sheff.co.uk/)
